"sleep" "care" "eat" "food" "house" "clothes" "maintenance" "travel" "work" "education" "children" "shopping" "leisure" "other"
48 4 14 5 0 0 0 29 0 0 0 0 30 14
45 2 9 0 0 0 0 3 44 0 0 0 41 0
49 5 5 1 1 0 0 14 41 0 0 5 23 0
62 3 3 5 0 0 0 7 0 0 0 1 59 4
44 8 5 7 2 0 19 4 0 0 0 2 45 8
62 6 19 10 7 0 0 0 0 0 12 9 19 0
67 4 3 0 2 0 0 3 46 0 0 0 14 5
48 9 7 0 0 0 0 6 47 0 0 0 27 0
60 6 9 4 14 9 0 0 0 0 0 12 30 0
53 2 2 1 0 0 0 0 54 0 0 0 32 0
37 10 7 5 0 0 0 17 48 0 0 0 20 0
43 7 6 0 2 4 0 9 20 0 0 2 51 0
43 7 7 1 0 0 0 18 45 0 0 0 23 0
50 6 10 2 0 0 0 14 0 0 0 2 55 5
60 10 4 14 6 3 0 0 0 0 37 0 10 0
57 7 17 0 0 0 0 6 0 0 0 0 50 7
59 4 3 6 0 0 0 0 51 0 0 0 19 2
48 5 10 0 0 0 0 0 48 0 0 0 33 0
52 3 22 4 1 0 9 11 0 0 0 1 31 10
63 9 9 0 0 0 0 0 48 0 0 0 15 0
56 3 10 6 0 0 0 0 0 0 0 0 69 0
38 6 8 6 0 0 0 15 45 0 0 0 20 6
63 3 3 4 0 0 0 0 0 0 0 0 71 0
47 1 4 0 0 0 0 0 62 0 0 0 30 0
54 0 6 6 0 0 0 14 0 0 0 25 27 12
48 5 9 5 0 0 0 2 48 0 0 0 27 0
55 9 5 4 0 0 1 6 50 0 0 0 14 0
55 2 7 0 0 0 0 11 50 0 0 0 19 0
64 5 6 0 0 0 0 0 0 0 0 0 68 1
44 5 3 4 0 0 0 2 80 0 0 0 0 6
44 2 1 0 4 0 0 22 51 0 0 0 20 0
58 6 5 4 0 0 0 11 47 0 0 1 9 3
33 3 0 0 67 0 0 14 0 0 0 0 25 2
57 6 3 12 1 0 0 5 52 0 8 0 0 0
62 7 8 3 0 0 0 0 0 0 0 45 19 0
41 4 2 0 0 0 0 13 0 40 0 0 44 0
48 3 0 0 0 0 0 0 0 0 87 0 6 0
41 3 4 6 1 0 0 28 39 0 14 2 6 0
64 3 9 6 0 0 0 4 0 0 0 0 57 1
63 2 2 10 0 0 0 14 42 0 0 0 11 0
60 6 0 0 0 0 0 2 48 0 0 0 26 2
53 3 6 5 0 0 30 0 0 0 0 0 47 0
59 5 3 4 0 0 0 8 41 0 0 0 24 0
55 10 3 4 0 0 0 6 48 0 0 0 18 0
53 7 9 9 5 0 12 4 0 0 0 0 45 0
49 4 10 0 0 0 0 9 56 0 0 0 16 0
63 0 9 10 10 0 10 0 0 0 7 11 21 3
48 4 8 5 6 7 0 12 0 0 0 0 47 7
47 6 4 0 1 1 0 19 47 0 0 0 19 0
47 5 2 2 1 0 0 0 76 0 0 2 4 5
52 3 13 12 5 0 8 0 0 0 20 0 31 0
69 0 20 0 0 0 0 0 48 0 0 0 7 0
60 12 3 3 0 0 0 0 57 0 0 0 9 0
53 5 0 3 0 0 0 12 51 0 9 0 10 1
54 4 2 8 4 2 0 0 54 0 0 0 14 2
41 3 11 2 0 0 0 2 49 0 0 0 36 0
71 10 9 5 2 3 0 0 0 0 8 1 35 0
48 1 4 3 3 1 0 2 48 0 0 2 32 0
56 7 8 3 0 5 1 4 40 0 0 0 19 1
66 0 9 4 14 15 7 0 0 0 0 0 29 0
71 0 6 8 0 0 0 0 0 0 0 0 59 0
50 4 2 0 1 0 0 9 25 0 0 3 50 0
64 3 4 0 4 0 1 12 0 0 0 1 53 2
45 3 13 9 0 0 9 14 0 0 0 0 51 0
62 3 5 9 0 0 0 0 13 0 16 0 0 36
67 5 3 6 0 0 7 0 0 0 0 0 56 0
57 4 12 10 5 8 0 4 0 0 0 0 44 0
38 5 8 1 2 0 0 26 43 0 0 0 21 0
66 5 18 0 0 0 0 0 0 0 0 0 54 1
61 5 13 12 0 0 0 3 0 0 0 2 40 8
47 6 13 9 0 0 0 17 38 0 0 0 7 7
68 2 13 0 9 3 0 0 0 0 0 0 49 0
67 6 7 7 7 2 2 0 0 0 0 0 46 0
50 2 9 0 0 0 0 11 60 0 0 0 11 1
39 7 4 4 5 0 6 12 1 0 2 0 64 0
55 2 7 3 4 0 15 10 0 0 4 8 29 7
41 9 4 3 11 3 0 0 49 0 0 0 24 0
56 6 6 0 0 0 0 0 13 0 17 0 46 0
48 3 13 6 0 0 0 4 0 0 0 10 60 0
64 5 11 11 7 0 0 4 0 0 0 3 39 0
66 7 7 4 0 0 0 6 0 0 0 0 35 19
55 5 8 0 4 0 0 0 41 10 0 0 10 11
44 6 6 11 0 0 5 9 0 0 0 17 46 0
40 0 5 2 3 0 0 12 26 0 0 2 48 6
39 8 6 6 14 0 6 10 0 0 0 8 40 7
53 7 7 6 0 5 0 0 22 0 0 7 32 5
47 5 10 3 0 0 0 27 20 0 0 0 32 0
48 3 6 9 3 0 3 0 0 0 12 3 57 0
45 10 9 3 7 0 0 11 0 0 0 4 48 7
47 7 15 2 0 0 20 4 0 0 0 1 48 0
58 6 17 8 0 0 0 0 0 0 0 25 29 1
54 0 9 4 2 0 0 17 0 0 0 4 54 0
58 8 13 7 1 0 0 7 0 0 0 16 33 1
49 7 10 14 0 0 0 22 0 0 0 6 19 17
59 3 6 10 0 0 0 0 41 0 0 12 12 1
54 3 2 0 0 0 0 4 36 0 0 6 39 0
62 3 5 5 0 0 0 14 0 0 0 11 36 8
51 5 9 5 0 0 0 0 40 0 0 0 34 0
59 0 13 0 0 3 0 0 0 0 0 7 61 1
64 5 0 0 7 0 0 3 0 0 0 17 48 0
60 3 6 0 0 0 0 2 48 0 0 0 25 0
40 6 2 0 0 0 0 15 49 0 0 0 31 1
48 13 5 0 0 0 0 11 48 0 0 0 19 0
45 3 8 4 6 0 0 8 50 0 0 0 19 1
48 5 13 3 0 0 0 12 45 0 0 0 15 3
63 4 8 5 0 0 0 9 48 0 0 0 7 0
71 0 12 0 0 0 0 0 48 0 0 0 12 1
49 3 3 3 2 2 0 2 54 0 0 0 22 4
42 3 3 6 6 3 0 19 0 0 0 6 56 0
52 3 4 10 0 5 0 15 46 0 0 0 9 0
57 6 12 3 0 0 0 6 42 0 0 0 18 0
54 3 10 7 0 0 7 4 22 0 0 5 30 2
54 6 12 0 0 2 11 6 0 0 0 7 43 3
51 3 6 10 6 4 6 16 0 0 23 0 16 3
59 5 14 0 0 0 0 0 20 0 0 8 37 1
57 10 2 2 1 0 6 6 0 0 0 22 34 4
50 4 2 0 0 0 0 21 45 0 0 0 19 3
46 2 1 0 0 0 0 6 58 0 0 0 25 6
53 7 4 0 0 0 0 17 45 0 0 0 18 0
65 6 8 0 0 0 0 0 0 12 0 15 38 0
75 6 20 0 0 0 1 21 0 0 21 0 0 0
55 6 6 6 4 0 2 0 42 0 0 3 20 0
48 5 9 14 6 4 6 14 0 0 10 2 26 0
60 4 7 3 0 0 0 0 0 0 0 14 53 3
41 6 9 6 0 0 2 0 51 0 0 0 29 0
63 6 9 6 12 0 0 6 0 0 0 6 24 12
30 0 21 1 0 0 26 3 18 0 0 0 45 0
53 3 11 0 3 0 13 0 51 0 0 0 9 1
51 0 12 3 14 0 0 9 0 0 24 6 22 3
48 0 9 6 0 0 0 13 42 0 5 0 15 6
59 5 12 5 0 0 0 0 42 0 0 3 18 0
44 6 12 0 0 0 0 4 51 0 0 0 27 0
54 1 6 3 0 0 0 5 47 0 0 2 23 3
57 5 8 8 0 8 9 0 0 0 0 10 33 6
52 7 8 7 4 1 0 7 22 0 6 2 15 13
38 6 16 12 0 0 0 14 0 0 0 11 47 0
49 5 6 0 0 0 0 13 51 0 0 0 20 0
63 10 6 13 5 0 3 0 0 0 0 13 25 6
62 4 0 8 0 0 0 0 0 0 35 0 35 0
60 3 8 4 0 0 0 0 0 0 49 0 20 0
49 5 3 6 0 0 3 0 51 0 0 0 27 0
54 4 19 0 0 0 0 6 36 0 0 0 25 0
54 3 7 8 9 4 0 0 54 0 0 5 0 0
60 9 3 0 0 0 0 0 0 0 0 0 36 36
69 3 4 3 2 0 2 7 0 0 0 2 34 18
37 4 4 0 0 0 0 14 55 0 0 0 28 2
48 4 3 7 9 0 0 0 48 0 0 2 23 0
58 0 6 1 0 0 0 6 16 0 0 2 44 11
59 0 7 6 9 0 0 0 0 0 0 0 59 4
68 3 12 0 0 0 9 0 0 0 0 4 48 0
61 5 9 2 0 0 1 5 43 0 0 2 16 0
70 0 4 5 14 0 0 0 21 0 0 0 30 0
48 6 6 0 0 0 0 33 0 0 9 0 27 15
53 8 9 4 0 0 0 4 53 0 0 2 11 0
51 3 5 0 0 0 0 0 85 0 0 0 0 0
45 3 0 0 0 0 0 6 54 0 36 0 0 0
57 10 12 8 0 4 11 0 0 0 8 0 34 0
46 2 9 0 3 0 0 3 44 0 24 0 12 1
58 7 8 0 0 0 0 7 52 0 0 0 12 0
68 0 0 0 0 0 0 27 0 0 0 0 49 0
53 5 7 4 5 0 0 2 39 0 0 6 23 0
79 4 9 18 0 0 0 2 0 0 0 0 32 0
44 2 8 2 0 0 0 0 42 0 22 0 21 3
51 6 4 10 0 0 0 6 44 0 0 0 23 0
51 5 5 0 0 0 0 4 47 0 0 0 32 0
45 4 8 0 0 0 0 20 53 0 0 0 14 0
59 6 11 13 0 0 0 9 0 0 0 0 45 1
46 5 6 7 10 0 0 13 0 0 0 11 34 12
59 5 0 12 7 0 0 0 0 0 14 9 22 16
54 5 9 5 0 2 0 0 49 0 0 6 14 0
65 4 10 15 9 0 0 2 0 0 0 7 31 1
55 6 11 5 0 0 0 0 0 0 0 0 67 0
56 6 12 1 0 0 0 9 10 12 0 0 36 2
46 8 9 3 47 0 0 0 0 0 0 0 22 9
53 7 0 0 0 0 0 7 42 0 0 0 29 6
54 7 7 6 0 10 0 25 0 0 0 0 35 0
68 5 4 2 0 0 0 4 58 0 0 3 0 0
43 8 6 12 0 0 0 9 0 0 25 0 41 0
55 3 6 0 0 0 0 5 62 0 0 0 13 0
57 4 9 6 2 0 0 3 47 0 0 0 16 0
57 4 16 0 0 0 0 0 0 0 8 16 35 8
52 4 11 0 9 0 0 0 0 0 37 0 31 0
54 6 8 6 0 0 0 8 0 0 0 0 54 8
53 7 0 0 0 0 0 11 48 0 0 6 19 0
41 9 6 0 0 0 0 15 54 0 0 0 17 2
44 6 5 9 9 0 0 0 0 0 9 0 61 1
53 4 8 0 0 0 0 13 43 0 0 0 20 3
60 6 10 19 0 0 0 10 0 0 0 0 36 3
46 9 3 10 9 0 0 0 0 15 38 0 5 9
48 7 8 6 0 0 0 13 45 0 0 0 17 0
120 15 9 0 0 0 0 0 0 0 0 0 0 0
55 6 4 14 0 0 3 2 37 0 0 0 16 7
46 5 19 4 5 2 0 6 0 0 14 6 37 0
48 2 3 8 0 0 0 14 40 0 0 0 22 7
54 4 19 0 0 0 0 0 0 0 0 0 67 0
63 7 6 12 0 0 0 4 0 0 0 4 48 0
65 4 13 3 13 0 3 6 0 0 0 0 37 0
48 7 3 6 0 0 0 3 27 0 27 0 22 1
65 5 0 3 3 0 3 0 0 0 0 0 54 11
70 8 21 3 0 7 0 23 0 0 0 0 12 0
44 8 9 8 3 0 0 8 36 0 0 0 25 3
28 4 5 0 0 0 0 10 0 28 0 0 48 21
55 3 9 11 0 1 3 10 0 0 0 2 46 4
39 3 2 4 0 2 0 6 65 0 16 0 7 0
50 13 6 5 0 0 11 4 0 0 0 0 55 0
45 2 12 3 0 0 0 4 0 0 0 0 71 7
55 12 13 16 0 0 41 0 0 0 0 0 7 0
64 2 4 14 9 0 6 2 0 0 0 4 36 3
57 6 12 0 2 2 0 0 53 0 0 0 12 0
50 8 4 4 6 0 0 2 0 0 0 0 70 0
78 2 11 9 0 0 0 8 0 0 7 0 29 0
48 4 16 5 6 0 1 7 45 0 0 0 12 0
61 3 4 8 12 0 0 0 0 0 0 0 56 0
51 9 1 3 0 0 0 6 42 0 0 0 32 0
50 3 9 13 0 0 0 6 0 0 0 0 36 27
54 10 3 11 6 4 0 6 0 0 0 0 50 0
48 3 6 0 0 0 0 6 54 0 0 0 27 0
64 5 7 3 4 0 8 0 45 0 0 0 8 0
55 0 5 1 0 0 0 13 0 0 0 0 70 0
49 9 5 1 1 0 12 0 0 0 0 0 67 0
70 8 14 11 1 0 0 8 0 0 0 0 32 0
47 3 8 12 26 12 7 0 0 0 0 0 14 15
60 6 6 3 6 0 0 10 0 21 0 3 29 0
58 7 5 2 0 0 0 0 47 0 0 0 25 0
76 5 7 2 21 6 0 0 0 0 0 0 27 0
53 7 6 4 9 0 0 8 29 0 5 0 22 1
42 6 7 7 2 0 0 0 50 0 0 0 30 0
38 9 10 0 0 0 0 14 58 0 5 0 10 0
60 5 5 4 3 2 0 2 0 0 0 0 63 0
51 11 0 4 0 0 0 6 0 0 0 0 70 2
53 6 16 3 2 0 18 3 0 0 0 8 35 0
51 5 11 8 4 0 0 0 0 0 0 9 51 5
